,year,community_board,metric,value
515,2008,Bronx Community Board 11,Housing Units,43460.105
516,2009,Bronx Community Board 11,Housing Units,43575.4
517,2010,Bronx Community Board 11,Housing Units,43691.0
518,2011,Bronx Community Board 11,Housing Units,43806.906
519,2012,Bronx Community Board 11,Housing Units,43923.12
520,2013,Bronx Community Board 11,Housing Units,44039.645
521,2014,Bronx Community Board 11,Housing Units,44156.473
522,2015,Bronx Community Board 11,Housing Units,44273.617
523,2016,Bronx Community Board 11,Housing Units,44391.066
524,2017,Bronx Community Board 11,Housing Units,44508.832
525,2018,Bronx Community Board 11,Housing Units,44626.906
526,2019,Bronx Community Board 11,Housing Units,44745.297
527,2020,Bronx Community Board 11,Housing Units,44864.0
528,2021,Bronx Community Board 11,Housing Units,44983.02
529,2022,Bronx Community Board 11,Housing Units,45102.35
530,2023,Bronx Community Board 11,Housing Units,45222.004
531,2024,Bronx Community Board 11,Housing Units,45341.973
532,2006,Bronx Community Board 11,Occupied Housing,40697.504
533,2007,Bronx Community Board 11,Occupied Housing,40836.414
534,2008,Bronx Community Board 11,Occupied Housing,40975.8
535,2009,Bronx Community Board 11,Occupied Housing,41115.66
536,2010,Bronx Community Board 11,Occupied Housing,41256.0
537,2011,Bronx Community Board 11,Occupied Housing,41396.816
538,2012,Bronx Community Board 11,Occupied Housing,41538.113
539,2013,Bronx Community Board 11,Occupied Housing,41679.895
540,2014,Bronx Community Board 11,Occupied Housing,41822.16
541,2015,Bronx Community Board 11,Occupied Housing,41964.91
542,2016,Bronx Community Board 11,Occupied Housing,42108.145
543,2017,Bronx Community Board 11,Occupied Housing,42251.87
544,2018,Bronx Community Board 11,Occupied Housing,42396.09
545,2019,Bronx Community Board 11,Occupied Housing,42540.797
546,2020,Bronx Community Board 11,Occupied Housing,42686.0
547,2021,Bronx Community Board 11,Occupied Housing,42831.7
548,2022,Bronx Community Board 11,Occupied Housing,42977.895
549,2023,Bronx Community Board 11,Occupied Housing,43124.59
550,2024,Bronx Community Board 11,Occupied Housing,43271.785
551,2006,Bronx Community Board 11,Other Population,914.9975
552,2007,Bronx Community Board 11,Other Population,961.1391
553,2008,Bronx Community Board 11,Other Population,1009.6075
554,2009,Bronx Community Board 11,Other Population,1060.52
555,2010,Bronx Community Board 11,Other Population,1114.0
556,2011,Bronx Community Board 11,Other Population,1170.1769
557,2012,Bronx Community Board 11,Other Population,1229.1866
558,2013,Bronx Community Board 11,Other Population,1291.1721
559,2014,Bronx Community Board 11,Other Population,1356.2834
560,2015,Bronx Community Board 11,Other Population,1424.6782
561,2016,Bronx Community Board 11,Other Population,1496.522
562,2017,Bronx Community Board 11,Other Population,1571.9886
563,2018,Bronx Community Board 11,Other Population,1651.2611
564,2019,Bronx Community Board 11,Other Population,1734.531
565,2020,Bronx Community Board 11,Other Population,1822.0
566,2021,Bronx Community Board 11,Other Population,1913.8799
567,2022,Bronx Community Board 11,Other Population,2010.3932
568,2023,Bronx Community Board 11,Other Population,2111.7734
569,2024,Bronx Community Board 11,Other Population,2218.266
570,2006,Bronx Community Board 11,Population,110756.33
571,2007,Bronx Community Board 11,Population,111370.125
572,2008,Bronx Community Board 11,Population,111987.32
573,2009,Bronx Community Board 11,Population,112607.94
574,2010,Bronx Community Board 11,Population,113232.0
575,2011,Bronx Community Board 11,Population,113859.516
576,2012,Bronx Community Board 11,Population,114490.516
577,2013,Bronx Community Board 11,Population,115125.0
578,2014,Bronx Community Board 11,Population,115763.01
579,2015,Bronx Community Board 11,Population,116404.555
580,2016,Bronx Community Board 11,Population,117049.66
581,2017,Bronx Community Board 11,Population,117698.33
582,2018,Bronx Community Board 11,Population,118350.59
583,2019,Bronx Community Board 11,Population,119006.484
584,2020,Bronx Community Board 11,Population,119666.0
585,2021,Bronx Community Board 11,Population,120329.17
586,2022,Bronx Community Board 11,Population,120996.02
587,2023,Bronx Community Board 11,Population,121666.57
588,2024,Bronx Community Board 11,Population,122340.83
589,2006,Bronx Community Board 11,Under 18 Population,26067.39
590,2007,Bronx Community Board 11,Under 18 Population,26054.033
591,2008,Bronx Community Board 11,Under 18 Population,26040.682
592,2009,Bronx Community Board 11,Under 18 Population,26027.338
593,2010,Bronx Community Board 11,Under 18 Population,26014.0
594,2011,Bronx Community Board 11,Under 18 Population,26000.67
595,2012,Bronx Community Board 11,Under 18 Population,25987.346
596,2013,Bronx Community Board 11,Under 18 Population,25974.03
597,2014,Bronx Community Board 11,Under 18 Population,25960.719
598,2015,Bronx Community Board 11,Under 18 Population,25947.414
599,2016,Bronx Community Board 11,Under 18 Population,25934.12
600,2017,Bronx Community Board 11,Under 18 Population,25920.828
601,2018,Bronx Community Board 11,Under 18 Population,25907.545
602,2019,Bronx Community Board 11,Under 18 Population,25894.27
603,2020,Bronx Community Board 11,Under 18 Population,25881.0
604,2021,Bronx Community Board 11,Under 18 Population,25867.738
605,2022,Bronx Community Board 11,Under 18 Population,25854.482
606,2023,Bronx Community Board 11,Under 18 Population,25841.232
607,2024,Bronx Community Board 11,Under 18 Population,25827.99
608,2006,Bronx Community Board 11,White Population,33170.227
609,2007,Bronx Community Board 11,White Population,32623.553
610,2008,Bronx Community Board 11,White Population,32085.89
611,2009,Bronx Community Board 11,White Population,31557.088
612,2010,Bronx Community Board 11,White Population,31037.0
613,2011,Bronx Community Board 11,White Population,30525.484
614,2012,Bronx Community Board 11,White Population,30022.398
615,2013,Bronx Community Board 11,White Population,29527.604
616,2014,Bronx Community Board 11,White Population,29040.965
617,2015,Bronx Community Board 11,White Population,28562.346
618,2016,Bronx Community Board 11,White Population,28091.613
619,2017,Bronx Community Board 11,White Population,27628.64
620,2018,Bronx Community Board 11,White Population,27173.297
621,2019,Bronx Community Board 11,White Population,26725.459
622,2020,Bronx Community Board 11,White Population,26285.0
623,2021,Bronx Community Board 11,White Population,25851.8
624,2022,Bronx Community Board 11,White Population,25425.742
625,2023,Bronx Community Board 11,White Population,25006.703
626,2024,Bronx Community Board 11,White Population,24594.572
627,2006,Bronx Community Board 12,Asian Population,2671.99
628,2007,Bronx Community Board 12,Asian Population,2720.6472
629,2008,Bronx Community Board 12,Asian Population,2770.1904
630,2009,Bronx Community Board 12,Asian Population,2820.636
631,2010,Bronx Community Board 12,Asian Population,2872.0
632,2011,Bronx Community Board 12,Asian Population,2924.2993
633,2012,Bronx Community Board 12,Asian Population,2977.5513
634,2013,Bronx Community Board 12,Asian Population,3031.7727
635,2014,Bronx Community Board 12,Asian Population,3086.9817
636,2015,Bronx Community Board 12,Asian Population,3143.1958
637,2016,Bronx Community Board 12,Asian Population,3200.4338
638,2017,Bronx Community Board 12,Asian Population,3258.7139
639,2018,Bronx Community Board 12,Asian Population,3318.0554
640,2019,Bronx Community Board 12,Asian Population,3378.4775
641,2020,Bronx Community Board 12,Asian Population,3440.0
642,2021,Bronx Community Board 12,Asian Population,3502.6428
643,2022,Bronx Community Board 12,Asian Population,3566.4263
644,2023,Bronx Community Board 12,Asian Population,3631.371
645,2024,Bronx Community Board 12,Asian Population,3697.4988
646,2006,Bronx Community Board 12,Average Household Size,2.79
647,2007,Bronx Community Board 12,Average Household Size,2.79
648,2008,Bronx Community Board 12,Average Household Size,2.79
649,2009,Bronx Community Board 12,Average Household Size,2.79
650,2010,Bronx Community Board 12,Average Household Size,2.79
651,2011,Bronx Community Board 12,Average Household Size,2.79
652,2012,Bronx Community Board 12,Average Household Size,2.79
653,2013,Bronx Community Board 12,Average Household Size,2.79
654,2014,Bronx Community Board 12,Average Household Size,2.79
655,2015,Bronx Community Board 12,Average Household Size,2.79
656,2016,Bronx Community Board 12,Average Household Size,2.79
657,2017,Bronx Community Board 12,Average Household Size,2.79
658,2018,Bronx Community Board 12,Average Household Size,2.79
659,2019,Bronx Community Board 12,Average Household Size,2.79
660,2020,Bronx Community Board 12,Average Household Size,2.79
661,2021,Bronx Community Board 12,Average Household Size,2.79
662,2022,Bronx Community Board 12,Average Household Size,2.79
663,2023,Bronx Community Board 12,Average Household Size,2.79
664,2024,Bronx Community Board 12,Average Household Size,2.79
665,2006,Bronx Community Board 12,Black Population,99118.22
666,2007,Bronx Community Board 12,Black Population,99109.414
667,2008,Bronx Community Board 12,Black Population,99100.61
668,2009,Bronx Community Board 12,Black Population,99091.805
669,2010,Bronx Community Board 12,Black Population,99083.0
670,2011,Bronx Community Board 12,Black Population,99074.195
671,2012,Bronx Community Board 12,Black Population,99065.39
672,2013,Bronx Community Board 12,Black Population,99056.59
673,2014,Bronx Community Board 12,Black Population,99047.79
674,2015,Bronx Community Board 12,Black Population,99038.99
675,2016,Bronx Community Board 12,Black Population,99030.19
676,2017,Bronx Community Board 12,Black Population,99021.39
677,2018,Bronx Community Board 12,Black Population,99012.59
678,2019,Bronx Community Board 12,Black Population,99003.8
679,2020,Bronx Community Board 12,Black Population,98995.0
680,2021,Bronx Community Board 12,Black Population,98986.2
681,2022,Bronx Community Board 12,Black Population,98977.41
682,2023,Bronx Community Board 12,Black Population,98968.62
683,2024,Bronx Community Board 12,Black Population,98959.82
684,2006,Bronx Community Board 12,Hispanic Population,31775.084
685,2007,Bronx Community Board 12,Hispanic Population,32531.379
686,2008,Bronx Community Board 12,Hispanic Population,33305.676
687,2009,Bronx Community Board 12,Hispanic Population,34098.406
688,2010,Bronx Community Board 12,Hispanic Population,34910.0
689,2011,Bronx Community Board 12,Hispanic Population,35740.914
690,2012,Bronx Community Board 12,Hispanic Population,36591.6
691,2013,Bronx Community Board 12,Hispanic Population,37462.54
692,2014,Bronx Community Board 12,Hispanic Population,38354.207
693,2015,Bronx Community Board 12,Hispanic Population,39267.098
694,2016,Bronx Community Board 12,Hispanic Population,40201.715
695,2017,Bronx Community Board 12,Hispanic Population,41158.58
696,2018,Bronx Community Board 12,Hispanic Population,42138.22
697,2019,Bronx Community Board 12,Hispanic Population,43141.17
698,2020,Bronx Community Board 12,Hispanic Population,44168.0
699,2021,Bronx Community Board 12,Hispanic Population,45219.266
700,2022,Bronx Community Board 12,Hispanic Population,46295.56
701,2023,Bronx Community Board 12,Hispanic Population,47397.465
702,2024,Bronx Community Board 12,Hispanic Population,48525.598
703,2006,Bronx Community Board 12,Household Population,145647.66
704,2007,Bronx Community Board 12,Household Population,146660.14
705,2008,Bronx Community Board 12,Household Population,147679.66
706,2009,Bronx Community Board 12,Household Population,148706.27
707,2010,Bronx Community Board 12,Household Population,149740.0
708,2011,Bronx Community Board 12,Household Population,150780.92
709,2012,Bronx Community Board 12,Household Population,151829.1
710,2013,Bronx Community Board 12,Household Population,152884.53
711,2014,Bronx Community Board 12,Household Population,153947.33
712,2015,Bronx Community Board 12,Household Population,155017.5
713,2016,Bronx Community Board 12,Household Population,156095.11
714,2017,Bronx Community Board 12,Household Population,157180.22
715,2018,Bronx Community Board 12,Household Population,158272.86
716,2019,Bronx Community Board 12,Household Population,159373.11
717,2020,Bronx Community Board 12,Household Population,160481.0
718,2021,Bronx Community Board 12,Household Population,161596.6
719,2022,Bronx Community Board 12,Household Population,162719.94
720,2023,Bronx Community Board 12,Household Population,163851.1
721,2024,Bronx Community Board 12,Household Population,164990.12
722,2006,Bronx Community Board 12,Housing Units,56006.19
723,2007,Bronx Community Board 12,Housing Units,56339.406
724,2008,Bronx Community Board 12,Housing Units,56674.605
725,2009,Bronx Community Board 12,Housing Units,57011.8
726,2010,Bronx Community Board 12,Housing Units,57351.0
727,2011,Bronx Community Board 12,Housing Units,57692.22
728,2012,Bronx Community Board 12,Housing Units,58035.465
729,2013,Bronx Community Board 12,Housing Units,58380.758
730,2014,Bronx Community Board 12,Housing Units,58728.1
731,2015,Bronx Community Board 12,Housing Units,59077.51
732,2016,Bronx Community Board 12,Housing Units,59429.004
733,2017,Bronx Community Board 12,Housing Units,59782.582
734,2018,Bronx Community Board 12,Housing Units,60138.27
735,2019,Bronx Community Board 12,Housing Units,60496.07
736,2020,Bronx Community Board 12,Housing Units,60856.0
737,2021,Bronx Community Board 12,Housing Units,61218.07
738,2022,Bronx Community Board 12,Housing Units,61582.297
739,2023,Bronx Community Board 12,Housing Units,61948.69
740,2024,Bronx Community Board 12,Housing Units,62317.26
